"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNU4-2",2796.56704296043,10.9509234978333,1.05215204192232,10.4081188473727,2.27676055279091e-25,4.14803005112976e-21
"SNORA73B",1396.51918100497,7.61284682786015,0.777130267239117,9.7961013086082,1.17015198051621e-22,1.06594994665124e-18
"RNU4-1",821.814240156845,10.7164935844831,1.11702815041576,9.59375426706512,8.49368988065287e-22,5.15821786452049e-18
"RNY3",48.7941774834398,25.0691495014699,2.71787067327423,9.22381986309489,2.86700489152279e-20,1.30584905296634e-16
"SNORA12",155.488373983979,8.00292469099137,0.947253554635205,8.44855598781401,2.94927815750054e-17,1.07465797503005e-13
"SNORA53",223.676871142176,6.64321524948772,0.80325493705874,8.27036964604665,1.3354431489568e-16,4.05507312180732e-13
"SNORD15B",124.911031735701,6.09020878021166,0.776369291677151,7.84447407374304,4.34771706839991e-15,1.13158653241683e-11
"RNU1-11P",6.46605983299648,22.2459230736926,2.93973046356277,7.56733426735046,3.80960728906121e-14,8.67590439992578e-11
"SNORA23",243.174893466602,8.04458632041707,1.07140157102035,7.50846978202189,5.98224913267757e-14,1.21100663275836e-10
"SNORA22",96.5248363049958,6.97130986289345,0.971131778506267,7.1785415915606,7.0458957263895e-13,1.2836917423909e-09
"SNORA38B",22.4696802696086,5.79823660991555,0.824504951288188,7.03238543426151,2.03032001906599e-12,3.36276367521484e-09
"ZNF460",301.163135305467,3.58831821054762,0.5111924222259,7.01950587397774,2.22654256094553e-12,3.38044824315555e-09
"SNORA20",39.2172733680787,6.66894596197818,0.965014528403749,6.91072078780971,4.82197309302592e-12,6.75780982937226e-09
"SNORD94",67.9379108889087,3.98107254016387,0.590122914163882,6.74617515200959,1.5179336623949e-11,1.97537381394091e-08
"ZBTB20",247.351132064052,3.68559576664499,0.549498062835607,6.70720429408976,1.98388432688483e-11,2.40962590343431e-08
"SNORA74B",75.958200030077,8.34553520405163,1.28996801422905,6.46956754895924,9.82837876403662e-11,1.1191452043874e-07
"SNORA71D",176.633490153675,8.13042323390401,1.27496763314193,6.37696442055401,1.80632403270061e-10,1.93584809128073e-07
"SNORA54_59",128.044920263881,9.3886729550517,1.49578266727744,6.27676276804339,3.45694921767456e-10,3.4990087664896e-07
"RNVU1-7",48.0254631603211,7.89688206118104,1.28502250846501,6.14532586718194,7.97995148972975e-10,7.65193348375718e-07
"SNORA49",116.417017940555,9.56252148609509,1.57281433169653,6.07987941957546,1.20272959261584e-09,1.0720550779186e-06
"H4C3",25.0228636430159,4.24576921477554,0.698829708096159,6.0755419604905,1.23569661541745e-09,1.0720550779186e-06
"SNORA74A",148.336127553859,8.62409149756574,1.42270011373278,6.0617774711063,1.34625391934487e-09,1.11488182529746e-06
"RN7SKP80",45.7212735159327,3.71969707257515,0.614742320605243,6.05082316264306,1.44107568209801e-09,1.14151990661494e-06
"SNORA14B",26.5311025401101,3.99687770308329,0.669158325220661,5.97299256758898,2.32940516438241e-09,1.7683096954118e-06
"SNORA5A",30.8227648233782,3.20969640633205,0.545218466431512,5.88699136942243,3.9328924313997e-09,2.86613468830684e-06
"SNORA46",21.8395314407881,5.60746424057856,0.956722939776885,5.86111611569204,4.59766323600222e-09,3.22172409602786e-06
"SNORA80B",23.4353801857311,4.77873731659868,0.821937922784137,5.81398811775437,6.10017461419783e-09,4.11626227022482e-06
"DYDC2",16.8732168396195,3.77556901486902,0.652475708121671,5.78652809272857,7.18560744505416e-09,4.67552078719435e-06
"SNORA26",45.9571892787489,3.08610478366081,0.546142475009705,5.65073204314675,1.59765975651128e-08,1.00371596909928e-05
"RNY1",366.675521998285,9.4024170153714,1.66856303906939,5.63503853028856,1.7501920174893e-08,1.06289161222125e-05
"RPA4",15.1531111539024,2.88500026422075,0.514128089751953,5.61144259908586,2.00646845583051e-08,1.17922092892826e-05
"MEGF11",52.6262118903851,2.6694283958194,0.479674866649312,5.56507872606761,2.62034084001824e-08,1.49187468013414e-05
"ZNF750",31.130568143144,3.02824523955951,0.550900051179689,5.49690498861793,3.86514808359335e-08,2.13391311924204e-05
"RN7SKP185",11.2837401940893,6.05908050775222,1.10944299123712,5.46137165731775,4.72469755166895e-08,2.53174307923108e-05
"SNORA7B",40.4308698990425,6.13091980886925,1.12544203159964,5.44756605558363,5.10637538498979e-08,2.65808723254654e-05
"SNORA22C",44.8938497773344,7.47468332392762,1.37546322399273,5.43430256334292,5.50111694930599e-08,2.78402360276127e-05
"RNU5E-1",65.5563516223762,7.78773382300468,1.44911232840741,5.37414089324842,7.69486734026906e-08,3.788994272226e-05
"GJB7",19.1959537989531,3.71614113291692,0.699106860114111,5.31555523902362,1.06332585175186e-07,5.09808781396506e-05
"CCN6",57.6365841968785,2.78995429232016,0.525749091429235,5.30662694011651,1.11672401071025e-07,5.21681916695642e-05
"SNORA37",17.6400323799434,6.06762203773795,1.14666670818923,5.29153065525002,1.21296853251566e-07,5.52476842347568e-05
"H1-4",50.7195791018346,3.27745305955172,0.62501057732647,5.2438361500557,1.57271875867331e-07,6.98862513762659e-05
"SNORA80D",13.5737847096397,3.81283891600252,0.729502236268746,5.22663088122171,1.72626636732584e-07,7.48829689197845e-05
"SNORD89",17.6938660871742,2.42038770053753,0.465143615236085,5.2035277304818,1.95540558423563e-07,8.28500798585791e-05
"RNU5B-1",288.084040830783,11.7648744388578,2.26357217325246,5.19748147546504,2.02006663240187e-07,8.36445317630221e-05
"ANKRD36",255.643572883586,2.28529343924058,0.440746147281706,5.1850559632457,2.1595001013372e-07,8.74309607694723e-05
"NEB",134.740602981368,2.27500028045184,0.439458206182942,5.17682966990673,2.25688084213641e-07,8.93872001367026e-05
"SNORD9",9.29551476319863,3.85988664884708,0.746450901492951,5.17098531347078,2.32862870656133e-07,9.02665668188103e-05
"CLDN10",95.5386528387873,3.61490601104092,0.703499081576388,5.1384658569002,2.76990507956306e-07,0.000105135209676165
"POU6F2",68.213400572115,3.61039921183608,0.712582285421563,5.06664182607371,4.04895106176491e-07,0.000150546611008765
"MT-TV",10.5206943981035,3.3575525334087,0.668968602254262,5.01899868259072,5.19415060343123e-07,0.000188502851499566
"RN7SKP237",11.7521212251482,5.43405606466896,1.08335144510397,5.01596789225445,5.27671410421969e-07,0.000188502851499566
"TMPRSS5",45.7508572715066,2.26519137880927,0.456227391618446,4.96504905322234,6.868370759024e-07,0.00024064393626665
"SNORD67",10.8205318839778,3.98226960948435,0.808882843505523,4.92317230048551,8.51524153105474e-07,0.000292715444253371
"SNORA71C",46.8516462186362,2.97051943812677,0.605083689475641,4.90927038654933,9.14158646844091e-07,0.000308426970126898
"SNORA80E",7.84553540546422,3.46363437565852,0.710766287024277,4.87309884963666,1.09861217759543e-06,0.00035908405372803
"SNORA2A",13.5201985776738,2.71798680252915,0.55785817524938,4.8721824347454,1.10372177445358e-06,0.00035908405372803
"H4-16",113.31617937124,1.98048249279415,0.40787802490995,4.85557537264085,1.20037683765319e-06,0.00038367834395094
"FBXL13",41.8895569046131,1.87400894328827,0.387696853797223,4.83369654649927,1.34020830139454e-06,0.000415509514342112
"STYXL2",274.42383913726,3.63106227750818,0.751321458689253,4.83290106453619,1.34557666975051e-06,0.000415509514342112
"MIR374B",6.51895659940011,3.68766432647593,0.770455238530467,4.7863446726764,1.69846274053897e-06,0.000515738211164657
"SNORA14A",14.8123304585185,7.85134415510405,1.6582100317604,4.73483093499853,2.19237773408319e-06,0.000654802130119044
"RNU5A-1",57.3747556678452,7.24606268429711,1.55010122605319,4.67457386815102,2.94564600999838e-06,0.00086559233316388
"SNORA65",29.8155295754644,2.16508821989335,0.463574862730084,4.6704176476324,3.00587971189095e-06,0.000869271785253034
"ZNF724",98.4848988683354,1.78800423218136,0.384342504905094,4.65211161753466,3.28553147631599e-06,0.000935298405734391
"HORMAD1",21.1904441437724,2.16983983074767,0.4691098593288,4.62544068856763,3.73802765671421e-06,0.0010477403981181
"PRH2_116",5.481359179423,2.58029600430896,0.55823266772316,4.62225905702206,3.79583571068442e-06,0.00104782319413575
"ZNF124",588.832597418634,1.53535086996437,0.332948672237259,4.61137405849236,4.00015981696448e-06,0.00108774495082501
"RNU1-67P",19.4697032729475,4.60434403039138,1.00853344470474,4.56538556511563,4.9857711628434e-06,0.00132891234452365
"SNORA63C",5.08156508532203,5.2595047550134,1.15253819407947,4.56341037722759,5.03293000560578e-06,0.00132891234452365
"ST8SIA6-AS1",44.9487756611307,3.6911994596817,0.814493750619447,4.53189414513546,5.84571428513384e-06,0.00152147240801219
"IGHG4",7708.06498787333,-2.51698501334118,0.558789859197353,-4.50434984084461,6.6576453211915e-06,0.0017083892972787
"RN7SKP203",46.8166256580259,10.3456546434399,2.30946110738104,4.47968342500994,7.47538271990075e-06,0.00189158330241488
"SNORA38_33",29.6791984851684,6.55020225888143,1.46469214018241,4.47206759644774,7.74669302313323e-06,0.00191705434753564
"H1-3",26.8239942661812,2.59512552037458,0.580438771752953,4.47097204161118,7.78648782686413e-06,0.00191705434753564
"CCDC83",8.72388912251524,4.08487519136231,0.924172491648123,4.42003546770533,9.86847031626773e-06,0.00239724880922776
"IGHV1-58",284.819500250661,-2.48114738250547,0.561939485775146,-4.41532842114299,1.00856749826754e-05,0.00241777516459687
"RN7SKP230",6.95451800107973,4.39214131939114,1.00093471146515,4.38803976831016,1.14376865133733e-05,0.00270074901762189
"TSPEAR-AS2",41.529070272451,2.36510917875783,0.539280313419393,4.38567683615499,1.15625678343766e-05,0.00270074901762189
"C9orf50",15.2419394828754,1.88933257446462,0.431518985003667,4.37833013175205,1.19592100701406e-05,0.00275803605402394
"ZNF557",396.865385819755,0.6528994132667,0.150846821593132,4.32822784312764,1.50313926749206e-05,0.00342321178930472
"RNVU1-30",8.5557536617852,2.30410966120627,0.533226245452253,4.32107324209455,1.55272119298334e-05,0.00349247252036586
"SNORD46",13.3075566859119,1.95819618733106,0.453933142867047,4.31384272794683,1.60441101828513e-05,0.00356472735879717
"SNORD17",90.9061764306411,2.42956438035777,0.563625011212445,4.31060427061495,1.62809036286832e-05,0.00357375642422867
"DRD5",27.8823979789537,-3.07353365320481,0.715807439128217,-4.29379954048546,1.75641071727416e-05,0.00380952938785928
"RN7SKP255",87.4488790269206,12.0450657601801,2.82801731011387,4.25919095937043,2.05168141707905e-05,0.00438967483634161
"RNU5F-1",15.6133367334316,5.20225131119955,1.22205239973243,4.25697892523971,2.07207879645084e-05,0.00438967483634161
"DLEU1",529.1459383375,1.15131606751356,0.270985827118627,4.24862096942641,2.15090488578802e-05,0.00450429150737609
"MYO18B",25.929532356278,2.63587471937341,0.624991015322324,4.21746017902996,2.47069433735304e-05,0.00511517956048125
"SMG1P3",132.66406185803,1.41341527122623,0.335508137272564,4.21276003233859,2.52269033064986e-05,0.0051641455206865
"RNVU1-6",3.7364190364274,4.69080656790994,1.11473611551902,4.20799730322354,2.57643940827708e-05,0.0052155721754889
"SMG1P5",54.4052434883758,1.37832420217267,0.329095203343601,4.18822331097178,2.81146805573829e-05,0.00557328312286559
"SNORD8",8.64520025467882,5.09228527037089,1.21592506578881,4.18799267623238,2.81432596357448e-05,0.00557328312286559
"NOC2LP1",60.7519757300936,-1.55739533381601,0.372436267955616,-4.18164251930914,2.89410750906172e-05,0.00566964996855865
"SUCNR1",102.507626632561,1.42721255009665,0.341700870325079,4.17678933254945,2.95652608653425e-05,0.00573031369899654
"MUC15",6.67363663219458,4.85737443240985,1.1644226573742,4.17148739046639,3.02617805779951e-05,0.00580357242474202
"SNORA5C",32.43482929068,1.52941697382969,0.367266216775361,4.16432795604819,3.12270989533353e-05,0.00592631787323767
"NSA2P3",15.7973210520516,1.99106557806568,0.482038895571429,4.13050813193278,3.61962290395123e-05,0.00673397963370766
"SPAG17",10.8728476505329,2.31254215005644,0.559890926531233,4.13034403751395,3.62220760801005e-05,0.00673397963370766
"MAPRE3-AS1",7.64623162136611,2.57292889761202,0.62433998150011,4.12103817447348,3.77168916281949e-05,0.00694105099569781
"ANKRD36C",247.354280622345,2.10376316967585,0.510918984293931,4.11760618483019,3.82828155166197e-05,0.00697474615897295
"CFAP70",78.866106314722,1.4351118016448,0.350016537803133,4.10012569878048,4.12925794436949e-05,0.00744860895925422
"UPK1B",7.40719648216837,3.00685407316009,0.735813568311168,4.08643466586433,4.38052765798761e-05,0.00782439543145845
"WFDC13",8.37758656687037,2.25725991205503,0.553037553223239,4.08156715380205,4.47330484789578e-05,0.00791253796347701
"ANKRD36B",93.6147035951091,1.41471123619376,0.346942965610193,4.0776478453904,4.54936014444052e-05,0.00796969158380403
"H1-5",28.3213650915166,2.86735825513694,0.704952342375603,4.06744978742009,4.75304460312994e-05,0.00824721139280232
"CRIPT",821.063403540089,0.559152753063391,0.139193352546615,4.01709379674676,5.8920276678408e-05,0.0101270615170181
"RNVU1-1",8.73423103772773,2.3668729941661,0.589935226224073,4.0120896141691,6.01836438272453e-05,0.0102475309055008
"DEUP1",10.9507785506703,2.09627009142644,0.52330687702246,4.00581414743469,6.18042316357375e-05,0.0104260305201065
"IGHD",243.167705752728,-1.85109942539256,0.462866712800355,-3.99920619522056,6.35552914665029e-05,0.010623062892002
"DNAH14",241.824199980745,1.29267392974047,0.323555877803448,3.99521077631524,6.46367217270709e-05,0.0106697611223043
"FBXW12",5.81397935923981,1.90123890281013,0.476040316796374,3.99386109900305,6.50059544747671e-05,0.0106697611223043
"SNORA75",14.9078522615599,2.17263871226545,0.54447548737381,3.99033338074562,6.59804871417711e-05,0.0107330222788922
"ADAM32_84",264.415401866092,1.8276536056671,0.458983599121341,3.98195841674055,6.83497400023205e-05,0.0110200346292237
"PADI1_29",103.383249346079,1.90618606340349,0.480133618130681,3.97011579989942,7.18377087313666e-05,0.0114808001348839
"STK31",187.621761170329,2.21584898911948,0.559176785849,3.96269846173093,7.41073577219399e-05,0.0117405386985741
"DTD2",683.997736193353,0.577554214716733,0.147156610752913,3.92475887941243,8.68166521957961e-05,0.0135370676812359
"FSD1L",519.959437958173,1.06258150913019,0.270760326728303,3.92443576195137,8.69332520283552e-05,0.0135370676812359
"SNORA3B",5.41835012715706,1.95931926554241,0.499668846786898,3.92123559061514,8.80960795356653e-05,0.0136018853649177
"USP6",23.5649549776104,1.33778772317607,0.341833679815142,3.91356323899836,9.09440687108955e-05,0.0139236133432253
"KCNRG",24.5162204103117,1.32646665158992,0.339371009818061,3.90860330792852,9.2831249818506e-05,0.0140941045036947
"ITGB8",1278.35129914301,1.38836363666888,0.3555422386619,3.9049189820429,9.42569574093883e-05,0.0141350335624162
"ANKAR",122.657069554286,1.01848569134912,0.260888879310129,3.90390611528675,9.46525108191872e-05,0.0141350335624162
"CFAP161",9.41143497613422,1.77819210191012,0.456129925416024,3.89843332530371,9.68170502748075e-05,0.0142426898834966
"ZNF484",223.79674345062,0.904350916695438,0.231995871599489,3.89813366272604,9.69369090264877e-05,0.0142426898834966
"TRIM59",374.845782629174,0.880171840390594,0.226112333682346,3.89263082670715,9.91629930370539e-05,0.0144532045611367
"SNORD72",3.12505744943656,2.87160374191437,0.738143313429053,3.89030651591803,0.000100117678319928,0.0144765395342124
"SNORA60",12.4776966378934,1.65505881572008,0.42611642447898,3.88405309122677,0.000102729460376799,0.0147255475786479
"ATP1A1-AS1",133.179934660025,0.980712083814621,0.252694804277559,3.88101404228878,0.000104021833955305,0.0147255475786479
"MLLT3",2145.36428110032,0.636943356710971,0.164141736440339,3.88044729222468,0.000104264539088072,0.0147255475786479
"ZNF573",109.213207533094,1.28171826777953,0.330895698565399,3.87348120068175,0.000107291686490336,0.015036517201288
"NPSR1-AS1",37.1080033575507,3.50163676306505,0.90533519210707,3.86777935243561,0.000109830974862734,0.0152748895498026
"XKRX",371.615874351251,1.73579980201429,0.449649941854887,3.86033587562317,0.000113231274367285,0.0156284893007391
